,srprec_orig,hh_med_inc_wgt
1296,71270,85907.0
1297,71283,48532.98
1298,71284,78370.54999999999
1299,71285,50684.11
1300,71347,80213.0
1301,71350,66887.12
1302,71361,93365.0
1303,71362,93365.0
1304,71364,80213.0
1305,71368,80213.0
1306,71370,108929.0
1307,71380,85907.0
1308,71381,80213.0
1309,71701,79971.99
1310,72091,162105.81
1311,72093,151731.0
1312,72096,160329.19
1313,72098,91585.0
1314,72120,109500.0
1315,72121,109500.0
1316,72122,109500.0
1317,72254,151427.97999999998
1318,72255,103630.97
1319,72256,129339.13
1320,72269,103256.79000000001
1321,72272,118181.25
1322,72312,118250.0
1323,72314,137605.46
1324,72318,107054.0
1325,72321,90543.0
